LightSetting,Individual,Sex,correct,wrong,total,proportioncorr
a 1:15 (hard),5.10FY,female,11,1,12,0.916666667
b 1:1 (equal),5.10FY,female,8,3,11,0.727272727
c 15:1 (easy),5.10FY,female,7,0,7,1
a 1:15 (hard),5.4FR,female,5,4,9,0.555555556
b 1:1 (equal),5.4FR,female,6,5,11,0.545454545
c 15:1 (easy),5.4FR,female,7,3,10,0.7
a 1:15 (hard),5.5FY,female,5,7,12,0.416666667
b 1:1 (equal),5.5FY,female,10,8,18,0.555555556
c 15:1 (easy),5.5FY,female,10,0,10,1
a 1:15 (hard),5.6FY,female,8,4,12,0.666666667
b 1:1 (equal),5.6FY,female,11,7,18,0.611111111
c 15:1 (easy),5.6FY,female,9,2,11,0.818181818
a 1:15 (hard),5.7FR,female,12,3,15,0.8
b 1:1 (equal),5.7FR,female,10,7,17,0.588235294
c 15:1 (easy),5.7FR,female,6,3,9,0.666666667
a 1:15 (hard),5.8FR,female,9,1,10,0.9
b 1:1 (equal),5.8FR,female,9,3,12,0.75
c 15:1 (easy),5.8FR,female,7,3,10,0.7
a 1:15 (hard),5.9FY,female,8,6,14,0.571428571
b 1:1 (equal),5.9FY,female,16,2,18,0.888888889
c 15:1 (easy),5.9FY,female,9,2,11,0.818181818
a 1:15 (hard),5.12MY,male,3,8,11,0.272727273
b 1:1 (equal),5.12MY,male,9,3,12,0.75
c 15:1 (easy),5.12MY,male,8,2,10,0.8
a 1:15 (hard),5.1MY,male,10,2,12,0.833333333
b 1:1 (equal),5.1MY,male,12,7,19,0.631578947
c 15:1 (easy),5.1MY,male,8,2,10,0.8
a 1:15 (hard),5.2MY,male,9,2,11,0.818181818
b 1:1 (equal),5.2MY,male,7,3,10,0.7
c 15:1 (easy),5.2MY,male,8,2,10,0.8
a 1:15 (hard),7.1MR,male,6,4,10,0.6
b 1:1 (equal),7.1MR,male,7,6,13,0.538461538
c 15:1 (easy),7.1MR,male,9,3,12,0.75
a 1:15 (hard),7.2MY,male,7,3,10,0.7
b 1:1 (equal),7.2MY,male,12,5,17,0.705882353
c 15:1 (easy),7.2MY,male,4,6,10,0.4
a 1:15 (hard),7.3FY,female,8,4,12,0.666666667
b 1:1 (equal),7.3FY,female,13,4,17,0.764705882
c 15:1 (easy),7.3FY,female,8,4,12,0.666666667
a 1:15 (hard),7.4MR,male,4,6,10,0.4
b 1:1 (equal),7.4MR,male,12,4,16,0.75
c 15:1 (easy),7.4MR,male,6,6,12,0.5
a 1:15 (hard),7.5FB,female,5,6,11,0.454545455
b 1:1 (equal),7.5FB,female,10,4,14,0.714285714
c 15:1 (easy),7.5FB,female,11,1,12,0.916666667
a 1:15 (hard),7.6FB,female,5,5,10,0.5
b 1:1 (equal),7.6FB,female,8,3,11,0.727272727
c 15:1 (easy),7.6FB,female,11,1,12,0.916666667
a 1:15 (hard),7.7MB,male,3,7,10,0.3
b 1:1 (equal),7.7MB,male,9,7,16,0.5625
c 15:1 (easy),7.7MB,male,11,0,11,1
a 1:15 (hard),7.8MB,male,10,7,17,0.588235294
b 1:1 (equal),7.8MB,male,9,3,12,0.75
c 15:1 (easy),7.8MB,male,7,4,11,0.636363636
a 1:15 (hard),7.9MY,male,7,4,11,0.636363636
b 1:1 (equal),7.9MY,male,14,3,17,0.823529412
c 15:1 (easy),7.9MY,male,9,3,12,0.75
a 1:15 (hard),7.10FY,female,6,5,11,0.545454545
b 1:1 (equal),7.10FY,female,10,3,13,0.769230769
c 15:1 (easy),7.10FY,female,10,1,11,0.909090909
a 1:15 (hard),7.11FR,female,7,3,10,0.7
b 1:1 (equal),7.11FR,female,10,4,14,0.714285714
c 15:1 (easy),7.11FR,female,8,3,11,0.727272727
a 1:15 (hard),7.12MB,male,10,7,17,0.588235294
b 1:1 (equal),7.12MB,male,10,3,13,0.769230769
c 15:1 (easy),7.12MB,male,9,2,11,0.818181818
