LightSetting,Individual,Sex,correct,wrong,total,proportioncorr, 
a 1:15 (hard),5.17FY,female,6,2,8,0.75,
b 1:1 (equal),5.17FY,female,12,3,15,0.8,
c 15:1 (easy),5.17FY,female,6,2,8,0.75,
a 1:15 (hard),5.18FY,female,7,2,9,0.777777778,
b 1:1 (equal),5.18FY,female,4,4,8,0.5,
c 15:1 (easy),5.18FY,female,10,1,11,0.909090909,
a 1:15 (hard),6.3FR,female,5,9,14,0.357142857,
b 1:1 (equal),6.3FR,female,14,5,19,0.736842105,
c 15:1 (easy),6.3FR,female,10,7,17,0.588235294,
a 1:15 (hard),6.4FR,female,10,5,15,0.666666667,
b 1:1 (equal),6.4FR,female,15,4,19,0.789473684,
c 15:1 (easy),6.4FR,female,12,4,16,0.75,
a 1:15 (hard),6.6FY,female,12,3,15,0.8,
b 1:1 (equal),6.6FY,female,13,1,14,0.928571429,
c 15:1 (easy),6.6FY,female,12,4,16,0.75,
a 1:15 (hard),6.7FB,female,7,8,15,0.466666667,
b 1:1 (equal),6.7FB,female,12,3,15,0.8,
c 15:1 (easy),6.7FB,female,9,5,14,0.642857143,
a 1:15 (hard),5.21MY,male,7,2,9,0.777777778,
b 1:1 (equal),5.21MY,male,6,2,8,0.75,
c 15:1 (easy),5.21MY,male,9,0,9,1,
a 1:15 (hard),5.22MR,male,7,4,11,0.636363636,
b 1:1 (equal),5.22MR,male,5,4,9,0.555555556,
c 15:1 (easy),5.22MR,male,10,0,10,1,
a 1:15 (hard),5.23MR,male,7,5,12,0.583333333,
b 1:1 (equal),5.23MR,male,8,2,10,0.8,
c 15:1 (easy),5.23MR,male,9,1,10,0.9,
a 1:15 (hard),6.1MB,male,11,3,14,0.785714286,
b 1:1 (equal),6.1MB,male,12,4,16,0.75,
c 15:1 (easy),6.1MB,male,13,2,15,0.866666667,
a 1:15 (hard),6.2MB,male,6,2,8,0.75,
b 1:1 (equal),6.2MB,male,7,3,10,0.7,
c 15:1 (easy),6.2MB,male,6,0,6,1,
a 1:15 (hard),6.8MB,male,12,4,16,0.75,
b 1:1 (equal),6.8MB,male,13,2,15,0.866666667,
c 15:1 (easy),6.8MB,male,11,4,15,0.733333333,
a 1:15 (hard),7.1FY,female,13,2,15,0.866666667,
b 1:1 (equal),7.1FY,female,15,3,18,0.833333333,
c 15:1 (easy),7.1FY,female,13,3,16,0.8125,
a 1:15 (hard),7.2MR,male,7,5,12,0.583333333,
b 1:1 (equal),7.2MR,male,9,1,10,0.9,
c 15:1 (easy),7.2MR,male,10,0,10,1,
a 1:15 (hard),7.3MR,male,7,3,10,0.7,
b 1:1 (equal),7.3MR,male,8,3,11,0.727272727,
c 15:1 (easy),7.3MR,male,9,1,10,0.9,
a 1:15 (hard),7.4FR,female,8,7,15,0.533333333,
b 1:1 (equal),7.4FR,female,11,4,15,0.733333333,
c 15:1 (easy),7.4FR,female,11,3,14,0.785714286,
a 1:15 (hard),7.5MR,male,6,4,10,0.6,
b 1:1 (equal),7.5MR,male,6,5,11,0.545454545,
c 15:1 (easy),7.5MR,male,8,6,14,0.571428571,
a 1:15 (hard),7.6MR,male,11,4,15,0.733333333,
b 1:1 (equal),7.6MR,male,12,7,19,0.631578947,
c 15:1 (easy),7.6MR,male,12,4,16,0.75,
a 1:15 (hard),7.7MR,male,10,4,14,0.714285714,
b 1:1 (equal),7.7MR,male,14,2,16,0.875,
c 15:1 (easy),7.7MR,male,12,3,15,0.8,
a 1:15 (hard),7.8FR,female,9,5,14,0.642857143,
b 1:1 (equal),7.8FR,female,11,1,12,0.916666667,
c 15:1 (easy),7.8FR,female,12,6,18,0.666666667,
a 1:15 (hard),7.9FR,female,9,3,12,0.75,
b 1:1 (equal),7.9FR,female,12,2,14,0.857142857,
c 15:1 (easy),7.9FR,female,9,1,10,0.9,
